PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,AGE,TFGender,REPEAT,MISSSC,SKIPPING,TARDYSD,EXERPRAC,STUDYHMW,WORKPAY,WORKHOME,ST034Q01TA,ST034Q02TA,ST034Q03TA,ST034Q04TA,ST034Q05TA,ST034Q06TA,ST300Q01JA,ST300Q02JA,ST300Q03JA,ST300Q04JA,ST300Q05JA,ST300Q06JA,ST300Q07JA,ST300Q08JA,ST300Q09JA,ST300Q10JA,ST270Q01JA,ST270Q02JA,ST270Q03JA,ST270Q04JA,ST038Q03NA,ST038Q04NA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST038Q08NA,ST250Q01JA,ST250Q02JA,ST250Q03JA,ST250Q04JA,ST250Q05JA,ST251Q01JA,ST251Q02JA,ST251Q03JA,ST251Q04JA,ST255Q01JA,MATH_CANTIDAD,MATH_CAMBIO_REL,MATH_ESPACIO_FORMA,MATH_DATOS_INCERT,MATH_FORMULACION,MATH_PROCEDIMIENTOS,MATH_INTERPRETACION,MATH_RAZONAMIENTO,MATH_PROMEDIO,MATH_LOGRO
461.265,464.012,493.186,476.502,511.088,524.765,448.044,472.829,491.355,458.956,16.08,0,0,1,0,1,4,4,0,5,2,3,2,2,,2,4,,,4,4,,,4,,4,3,4,2,3,1.0,1.0,1.0,1.0,1.0,1.0,0,1,1,1,1,0,0,0,1,2,500.187,489.195,492.9799999999999,448.95470000000006,483.7045,502.3942,471.02440000000007,488.9025,484.6677875000001,1
420.221,441.73,454.602,408.343,414.883,415.821,387.655,465.227,414.258,435.337,16.0,1,0,0,0,1,10,10,7,6,2,3,,2,3,1,,,5,5,,5,,,5,5,2,3,3,2,,,,,1.0,,1,1,0,1,1,0,0,2,2,3,448.82460000000003,388.77900000000005,363.0803,402.0638,418.51890000000003,442.22170000000006,431.04499999999996,393.3376,410.98386250000004,0
440.712,438.988,429.237,472.673,417.582,445.992,402.086,422.375,390.177,452.803,16.0,0,0,0,0,2,4,8,2,10,1,3,2,2,,2,5,4,3,5,,,,,,1,2,2,2,2,1.0,1.0,1.0,1.0,1.0,,0,1,0,1,1,0,0,1,1,2,410.67780000000005,431.82789999999994,446.899,448.48619999999994,465.93469999999996,417.8836,425.25829999999996,456.1165,437.8855,0
250.389,251.368,272.704,324.564,269.291,267.265,294.298,279.097,262.2,257.647,15.42,1,1,0,0,2,10,7,7,10,4,2,4,4,,2,4,3,3,,,3,4,,,,1,1,1,1,1.0,,1.0,1.0,1.0,1.0,,,,,1,0,0,1,1,1,310.5421,288.87170000000003,305.69939999999997,271.05899999999997,274.11490000000003,270.3649,313.668,291.2013,290.69016250000004,0
351.183,339.434,365.809,318.178,370.256,369.358,373.524,335.792,373.582,313.371,16.25,1,0,1,1,1,8,10,4,2,4,1,3,,3,4,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1,0,0,1,0,,,1,1,2,380.7491,305.5264,258.1073,344.36019999999996,340.36949999999996,365.5742,326.8807,390.7918000000001,339.0449,0
405.793,429.575,415.135,395.507,334.413,396.177,354.356,369.866,394.943,422.485,16.08,1,1,0,0,0,2,6,4,6,1,4,3,2,,2,,5,5,5,,,5,,5,,4,3,4,4,1.0,,1.0,,1.0,1.0,1,1,1,0,1,0,0,1,1,3,389.8455,435.99629999999996,460.9304,383.7689,447.4924,385.30129999999997,379.7346,408.9154,411.4981,0
382.321,348.262,403.164,384.906,399.658,348.588,366.17,381.04,372.245,329.373,15.58,0,0,0,1,0,5,10,8,8,2,2,3,,2,2,,,,1,1,,,2,3,1,4,4,4,4,,1.0,1.0,1.0,1.0,,1,1,0,0,1,0,0,0,1,2,355.4556,376.96700000000004,341.5425,389.17590000000007,317.7787,349.692,408.34760000000006,350.0856,361.13061250000004,0
303.184,305.478,298.072,276.51,309.429,312.514,314.518,273.363,334.77,322.169,16.25,1,0,1,1,2,2,3,1,0,,4,4,3,3,1,,,1,3,,2,4,,,5,2,3,4,3,1.0,,,1.0,1.0,1.0,0,0,0,1,0,1,0,1,1,1,293.0597,305.4708,286.3415,337.6965,299.6731,292.2090999999999,321.11990000000003,303.8977,304.9335375,0
391.235,438.542,413.092,370.235,372.79,388.692,405.225,410.858,450.969,408.003,16.08,0,0,0,0,1,6,7,1,6,1,3,3,2,3,,5,4,5,,,5,,,,5,3,3,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0,1,0,1,1,1,3,399.55569999999994,402.69559999999996,484.92740000000003,411.9895,391.35749999999996,397.21700000000004,410.3483,438.07249999999993,417.0204375,0
235.561,262.321,311.664,312.646,199.591,226.008,290.642,255.302,238.511,268.801,16.08,1,1,0,0,1,2,10,7,10,1,,3,3,4,1,,,,,,,,,,,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,,0,1,0,1,0,0,3,2,2,267.00030000000004,262.68350000000004,224.1938,223.1748,215.33070000000004,259.7656,249.9817,268.6029,246.34166249999998,0
370.965,363.429,380.259,378.105,385.53,395.76,387.944,370.211,386.162,359.273,15.83,0,0,0,1,0,0,9,0,10,2,2,2,2,,2,2,4,1,,1,,2,,,,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,0,1,1,1,1,1,1,1,1,0,387.70480000000003,385.06360000000006,417.27119999999996,387.1941,352.55219999999997,368.538,380.6367,377.3008,382.032675,0
422.924,558.838,496.292,498.748,453.507,548.062,460.794,495.618,523.205,459.03,16.17,1,0,0,0,0,6,8,9,10,1,2,3,1,,1,,,4,,3,2,5,,4,,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,1,2,3,505.95400000000006,522.4286,504.2183,483.9055,490.9057000000001,528.6467,503.0469,512.2097,506.41442499999994,1
375.457,394.427,403.768,356.337,369.0,382.048,410.463,341.03,398.765,375.375,15.42,1,0,0,0,0,10,5,6,10,1,3,2,,3,2,,5,4,,,4,,,1,5,2,3,3,2,1.0,1.0,1.0,,1.0,,1,0,0,1,1,0,0,1,1,1,349.43840000000006,369.2235999999999,380.69440000000003,365.31540000000007,322.5544,373.6018,380.313,366.40590000000003,363.44336250000003,0
385.804,403.525,459.877,395.035,439.39,421.054,401.212,454.02,438.621,388.122,15.92,0,0,0,1,1,10,8,4,4,,3,3,2,3,2,1,1,,,2,,2,,,2,4,4,3,4,1.0,,1.0,1.0,1.0,1.0,0,1,0,1,0,1,1,0,2,1,430.813,406.7656,380.91009999999994,388.001,398.0141,423.58180000000004,405.42040000000003,377.419,401.36562499999997,0
382.495,425.865,341.628,328.04,395.884,383.317,351.105,314.683,394.561,355.749,15.92,1,0,0,1,2,4,4,0,0,4,3,3,2,2,,,,,,,,,,,,4,4,4,4,1.0,1.0,1.0,1.0,1.0,,1,1,1,1,0,0,0,1,2,2,331.10869999999994,377.4312,375.23639999999995,377.07489999999996,372.8820999999999,354.48879999999997,350.99370000000005,327.2266,358.3053,0
401.665,427.474,472.86,377.378,468.921,424.597,441.822,428.242,474.791,475.017,16.25,1,0,0,1,0,10,5,7,0,2,,1,2,4,2,,2,1,3,,,,1,,1,2,2,2,2,,,1.0,1.0,1.0,,1,1,1,1,1,2,2,0,2,3,464.34430000000003,426.16460000000006,393.81109999999995,449.34220000000005,454.17929999999996,444.82660000000004,411.40650000000005,483.7366,440.9764,0
326.691,287.146,316.184,320.155,337.293,325.735,334.869,306.774,303.444,362.238,15.67,0,0,0,0,0,2,2,2,2,1,2,4,3,2,,5,,2,,,,2,,2,2,2,2,2,2,1.0,,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,1,1,0,307.17030000000005,275.6741,303.9207,399.71999999999997,296.3912,294.32399999999996,347.09420000000006,389.04370000000006,326.667275,0
257.541,242.178,208.42,235.872,222.128,257.901,235.179,293.046,193.51,236.714,16.33,0,0,0,0,1,10,10,8,9,2,,3,1,3,1,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,1,1,,1,221.51529999999997,221.77460000000002,193.4016,226.55720000000002,251.55069999999995,253.37939999999998,223.90099999999998,231.5196,227.94992500000004,0
284.593,353.963,273.9,343.415,376.731,380.05,334.231,379.967,299.454,363.606,15.75,0,0,1,1,1,0,10,10,10,2,2,,,3,3,5,,1,,1,,,,3,1,4,4,4,4,1.0,,1.0,1.0,1.0,,1,0,0,0,0,0,0,1,1,1,361.35,363.78010000000006,295.6807,312.3813,318.72749999999996,376.79599999999994,337.58709999999996,266.76419999999996,329.13336250000003,0
410.026,434.628,412.719,410.953,400.719,431.195,445.912,372.758,398.991,379.918,16.08,0,0,0,1,1,4,10,0,8,2,2,,2,2,2,5,,,,4,,5,5,,5,4,2,4,4,,1.0,1.0,1.0,1.0,,1,1,1,1,0,0,1,1,1,0,437.87219999999996,420.86890000000005,427.9731,417.93580000000003,403.3745,449.84880000000004,408.86330000000004,399.76290000000006,420.81243750000004,0
378.391,418.391,397.049,384.448,404.625,418.934,398.778,411.812,353.235,384.929,16.17,1,0,1,1,1,3,6,6,10,2,2,,4,2,2,,2,1,,1,,,1,,2,2,2,2,3,1.0,,,1.0,,,1,0,0,0,1,0,0,0,1,1,393.447,348.3416,409.108,408.3902,401.07520000000005,386.8794,390.99840000000006,343.7513,385.24888749999997,0
542.414,556.131,466.265,481.357,482.87,511.992,530.729,516.664,494.825,491.156,15.5,1,0,0,0,0,10,10,10,10,1,3,4,1,,1,,4,,,5,5,4,5,,,3,3,3,3,1.0,,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,1,1,1,547.1758,522.0635,479.6871,447.5795,499.8822,517.9855,492.9165,510.10360000000003,502.17421249999995,1
