PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,AGE,TFGender,REPEAT,MISSSC,SKIPPING,TARDYSD,EXERPRAC,STUDYHMW,WORKPAY,WORKHOME,ST034Q01TA,ST034Q02TA,ST034Q03TA,ST034Q04TA,ST034Q05TA,ST034Q06TA,ST300Q01JA,ST300Q02JA,ST300Q03JA,ST300Q04JA,ST300Q05JA,ST300Q06JA,ST300Q07JA,ST300Q08JA,ST300Q09JA,ST300Q10JA,ST270Q01JA,ST270Q02JA,ST270Q03JA,ST270Q04JA,ST038Q03NA,ST038Q04NA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST038Q08NA,ST250Q01JA,ST250Q02JA,ST250Q03JA,ST250Q04JA,ST250Q05JA,ST251Q01JA,ST251Q02JA,ST251Q03JA,ST251Q04JA,ST255Q01JA,PV1MATH_target
554.18,465.046,479.459,527.469,475.07,504.314,458.567,498.728,517.697,498.008,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
380.974,415.111,404.383,357.181,414.067,426.939,384.144,435.405,398.209,386.755,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
361.886,369.602,317.768,350.612,337.415,365.806,332.024,357.955,365.523,317.774,15.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
409.884,387.531,419.426,409.28,354.235,373.574,335.698,374.674,311.186,369.187,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
357.958,363.219,325.769,385.226,365.399,393.533,371.228,322.86,380.185,385.061,16.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
317.168,343.935,351.066,395.718,407.388,396.87,372.958,405.451,353.52,357.055,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
506.19,505.237,523.377,529.337,498.492,495.66,499.063,527.136,494.349,507.377,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
317.792,284.317,294.35,292.16,275.692,246.032,262.864,279.93,259.928,248.223,15.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
346.731,360.328,358.26,353.94,355.271,375.816,330.595,351.284,390.476,334.221,15.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
323.241,273.335,362.465,380.675,308.525,272.322,307.127,269.506,329.715,313.059,15.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
